Serial,Anio,FechaRegistro,Ciudad,Direccion,ValorTasado,MontoVenta,RatioVenta,TipoPropiedad,TipoResidencial,codigoNoUso,observaciones,observacionesOPM,ubicacion,,,,,
9514,2009,05/13/2010,Meriden,6 ALLEN COURT,84850.00,70000.00,1.212142857,Condo,Condo,,,,,,,,,
9242,2009,12/11/2009,Meriden,583 WEST MAIN ST,353630.00,650000.00,0.544046154,,,,,,,,,,,
90859,2009,07/08/2010,New Haven,290 BLATCHLEY AVENUE,223300.00,250000.00,0.8932,,,,,,,,,,,
90584,2009,06/24/2010,Hartford,73 OSTEN BLVD,22050.00,170210.00,0.129545855,Condo,Condo,,,,,,,,,
90540,2009,06/21/2010,Hamden,880 DIXWELL AVE,56490.00,90000.00,0.627666667,,,,,,,,,,,
90538,2009,09/02/2010,Wallingford,10 EVERGREEN,48510.00,60000.00,0.8085,Condo,Condo,,,,,,,,,
90487,2009,06/28/2010,Middletown,DURWIN ST,67900.00,53000.00,1.281132075,,,24 - Plottage,,,,,,,,
90453,2009,09/22/2010,Groton,18 RIDGEWOOD DR,62370.00,75000.00,0.8316,,,,,,,,,,,
90450,2009,01/25/2010,Stamford,20 VICTORY STREET,541950.00,650000.00,0.833769231,,,,,,,,,,,
90413,2009,09/27/2010,Vernon,201-13C REGAN RD,49600.00,81500.00,0.608588957,Condo,Condo,,,,,,,,,
90403,2009,05/14/2010,Middletown,PEASE AVE,41580.00,40000.00,1.0395,,,,,,,,,,,
90381,2009,04/30/2010,Hamden,365 MATHER ST U164,100030.00,142000.00,0.70443662,Condo,Condo,,,,,,,,,
90376,2009,04/29/2010,Hamden,27 ANDREW ST,83860.00,100000.00,0.8386,,,,,,,,,,,
90365,2009,05/25/2010,Wallingford,61 WHITE TAIL LN,123480.00,200000.00,0.6174,Condo,Condo,,,,,,,,,
90342,2009,03/10/2010,Danbury,38 SHELTER ROCK RD,275700.00,250000.00,1.1028,,,,K15090,,,,,,,
